#: table_doi: 10.17182/hepdata.20488.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: Table2.yaml
#: keyword reactions: NU NUCLEON --> X
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section
#: keyword cmenergies: 15.033-21.677
#: RE,NU NUCLEON --> X
#: SQRT(S) [GeV],15.033-21.677
E [GEV],SIG/E [CM**2/GEV],error +,error -
120.0,5.9e-39,6e-40,-6e-40
140.0,6.5e-39,5e-40,-5e-40
165.0,5.7e-39,4e-40,-4e-40
200.0,7e-39,6e-40,-6e-40
250.0,6.2e-39,5e-40,-5e-40

