#: table_doi: 10.17182/hepdata.40711.v1/t1
#: name: Table 1
#: description: No description provided.
#: data_file: Table1.yaml
#: keyword reactions: NUMU NUCLEON --> MU- X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 2.551-6.912
#: RE,,,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],,,2.551-6.912
E [GEV],E [GEV] LOW,E [GEV] HIGH,SIG/E [FB/GEV],stat +,stat -,sys +,sys -
4.0,3.0,5.0,7.92,0.16,-0.16,0.39,-0.39
6.0,5.0,7.0,8.17,0.13,-0.13,0.35,-0.35
8.0,7.0,9.0,7.79,0.14,-0.14,0.35,-0.35
10.0,9.0,11.0,7.38,0.16,-0.16,0.26,-0.26
12.0,11.0,13.0,7.17,0.18,-0.18,0.27,-0.27
15.0,13.0,17.0,6.83,0.15,-0.15,0.29,-0.29
19.0,17.0,21.0,6.54,0.2,-0.2,0.3,-0.3
23.0,21.0,25.0,6.35,0.24,-0.24,0.41,-0.41
27.5,25.0,30.0,6.09,0.31,-0.31,0.54,-0.54

